"id,""submitdate"",""lastpage"",""startlanguage"",""seed"",""Code"",""Dis1"",""Dis2"",""Dis21"",""CTEXT"",""C1"",""C2"",""C3"",""Reminder"",""C4"",""C5"",""C6"",""C7"",""C8"",""C9"",""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C17"",""C18"",""CYOptOut"",""F1"",""F11"",""F2"",""F3[SQ001]"",""F3[SQ001comment]"",""F3[SQ002]"",""F3[SQ002comment]"",""F3[SQ003]"",""F3[SQ003comment]"",""F3[SQ004]"",""F3[SQ004comment]"",""F3[SQ005]"",""F3[SQ005comment]"",""F3[SQ006]"",""F3[SQ006comment]"",""F3[SQ007]"",""F3[SQ007comment]"",""F4"",""F41"",""MATRIX[SQ001]"",""MATRIX[SQ002]"",""MATRIX[SQ003]"",""MATRIX[SQ004]"",""MATRIX[SQ005]"",""MATRIX[SQ006]"",""MATRIX[SQ007]"",""MATRIX[SQ008]"",""MATRIX[SQ009]"",""MATRIX[SQ010]"",""MATRIX[SQ011]"",""MATRIX[SQ012]"",""MATRIX[SQ013]"",""MATRIX[SQ014]"",""MATRIX[SQ015]"",""MATRIX[SQ016]"",""MATRIX[SQ017]"",""Nature"",""TrustScience"",""Gender"",""Age"",""Household"",""PLZ"",""Job"",""Job[other]"",""Education"",""Income"",""Feedback"",""interviewtime"",""groupTime2723"",""CodeTime"",""groupTime2724"",""Dis1Time"",""Dis2Time"",""Dis21Time"",""groupTime2718"",""CTEXTTime"",""C1Time"",""C2Time"",""C3Time"",""ReminderTime"",""C4Time"",""C5Time"",""C6Time"",""C7Time"",""C8Time"",""C9Time"",""C10Time"",""C11Time"",""C12Time"",""C13Time"",""C14Time"",""C15Time"",""C16Time"",""C17Time"",""C18Time"",""CYOptOutTime"",""groupTime2719"",""F1Time"",""F11Time"",""F2Time"",""F3Time"",""F4Time"",""F41Time"",""groupTime2720"",""MATRIXTime"",""NatureTime"",""TrustScienceTime"",""groupTime2721"",""GenderTime"",""AgeTime"",""HouseholdTime"",""PLZTime"",""JobTime"",""EducationTime"",""IncomeTime"",""groupTime2722"",""FeedbackTime""		"
"20,""1980-01-01 00:00:00"",""42"",""de"",""799781604"",""JO448GI"",""das man mehr auf die umwelt achten solllte		"
",A2"",""nichts um ehrlich zu sein		"
","",A2"",""A1"",""A2"","""",""A1"",""A1"",""A3"",""A1"",""A1"",""A1"",""A2"",""A3"",""A1"",""A1"",""A3"",""A2"",""A2"",""A2"",""A2"","""",""A1"","""",""mir war wichtig das nicht nochmehr steuern auf uns zukommen und das die umwelt besser wird"",""1"","""",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""A2"",""war mir im großen und ganzen recht sicher "",""A5"",""A6"",""A5"",""A2"",""A4"",""A6"",""A6"",""A4"",""A6"",""A6"",""A2"",""A5"",""A6"",""A7"",""A5"",""A3"",""A5"",""A1"",""A3"",""A1"",""1993"",""2"",""90480"",""-oth-"","""",""A3"",""A5"","""",""550.54"","""",""23.25"","""",""29.92"",""6.06"",""12.62"","""",""13.26"",""9.05"",""10.32"",""14.13"",""3.11"",""6.55"",""16.27"",""12.22"",""20.47"",""8.24"",""9.16"",""11.71"",""15.19"",""14.36"",""11.65"",""9.89"",""23.44"",""10.78"",""7.88"",""10.1"","""","""",""9.13"","""",""30.38"",""26"",""13.46"",""16.73"","""",""83.62"",""6.49"",""9.86"","""",""3.97"",""6.05"",""5.95"",""5.31"",""5.78"",""7.78"",""4.68"","""",""5.72""		"
"21,""1980-01-01 00:00:00"",""42"",""de"",""1157982777"",""AN551HA"",""CO2 aus der Luft, -umwandelbar, Renaturisierung, neue Begriffe Agroforstwirtschaft, Kurzumtriebsplantagen Ökosystemleistungen..."",""A3"",""Die Gliederung vorgestellter Maßnahmen nach Wichtigkeit... Ohne Datenlage einfach nicht umsetzbar. Alle Maßnahmen sind wichtig. "","""",""A2"",""A1"",""A2"","""",""A1"",""A2"",""A2"",""A2"",""A1"",""A1"",""A2"",""A2"",""A1"",""A2"",""A1"",""A2"",""A2"",""A2"",""A2"","""",""A1"","""",""Artenvielfalt erhalten, Verbesserung des Bodens, Hochwasserschutz"",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""1"",""Wenn alle gemeinsam Kosten tragen und entsprechend Einkommen zur Kasse gebeten werden, kann mehr erreicht werden. "",""A2"",""Sind Flüge nun was tolles?"",""A7"",""A4"",""A7"",""A1"",""A6"",""A7"",""A3"",""A7"",""A1"",""A7"",""A7"",""A3"",""A7"",""A2"",""A6"",""A2"",""A7"",""A1"",""A2"",""A2"",""1962"",""2"",""47551"",""A6"","""",""A5"",""A6"","""",""1331.25"","""",""43.9"","""",""129.36"",""8.19"",""72"","""",""56.87"",""17.19"",""24.08"",""26.62"",""5.83"",""21.23"",""65.91"",""23.9"",""16.22"",""16.71"",""28.23"",""15.93"",""39.33"",""15"",""17.11"",""46.17"",""17.73"",""34.62"",""21.23"",""46.12"","""","""",""15.82"","""",""45.95"",""118.92"",""9.77"",""52.52"","""",""132.52"",""16.28"",""52.24"","""",""6.94"",""8.32"",""6.2"",""12.03"",""8.65"",""13.32"",""15.78"","""",""6.51""		"
"22,""1980-01-01 00:00:00"",""42"",""de"",""964056020"",""HE227HA"",""gleiches oder ähnliches Empfinden für Veränderungsmöglichkeiten"",""A1"","""","""",""A2"",""A1"",""A2"","""",""A1"",""A2"",""A2"",""A2"",""A1"",""A1"",""A2"",""A1"",""A1"",""A1"",""A1"",""A2"",""A2"",""A2"",""A2"","""",""A2"",""Kostenabschätzung der einzelnen Maßnahmen		"
",Umweltverbesserung hinsichtlich Wasserqualität, Hochwasserschutz und Erhalt der Artenvielfalt"",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""1"",""nicht immer war es möglich die für mich """"optimalen"""" Kosten zu berücksichtigen. Wahrscheinlich sind die jährlichen Kosten pro Haushalt eher zu hoch angesiedelt!"",""A3"",""Die Entscheidungen waren teilweise im Widerspruch!		"
"Nicht immer sind die Kosten dabei in erträglichem Rahmen!"",""A7"",""A6"",""A6"",""A3"",""A6"",""A7"",""A4"",""A7"",""A7"",""A7"",""A5"",""A5"",""A7"",""A5"",""A7"",""A2"",""A7"",""A1"",""A3"",""A1"",""1949"",""2"",""91227"",""A11"","""",""A5"",""A6"","""",""1645.48"","""",""20.41"","""",""45.6"",""20.85"","""","""",""155.49"",""26.1"",""28.24"",""20.51"",""11.54"",""40.34"",""16.33"",""64.86"",""104.14"",""70"",""35.39"",""56.77"",""39.45"",""22.49"",""30.03"",""34.63"",""37.58"",""31.81"",""30.25"",""76.77"","""","""",""19.3"",""54.94"",""54.27"",""114.2"",""15.8"",""55.7"","""",""124.47"",""12.14"",""25.5"","""",""11.81"",""9.83"",""31.29"",""38.81"",""15.4"",""17.76"",""15.93"","""",""8.75""		"
"23,""1980-01-01 00:00:00"",""42"",""de"",""1326495476"",""IN244KL"",""Im großen und ganzen geht es um die Vermeidung und den natürlichen Abbau von CO2. Mit Hilfe diverser Renaturierungsverfahren sollen nicht genutzte Flächen der Natur zurück geführt werden oder mit Teilflächen Nutzung der Agrarwirtschaft anteilig zu nutzen."",""A3"",""Ohne spezifisches Hintergrundwissen fällt es relativ schwer das ganze zu beurteilen."","""",""A2"",""A1"",""A2"","""",""A3"",""A3"",""A3"",""A2"",""A1"",""A1"",""A2"",""A1"",""A1"",""A1"",""A2"",""A2"",""A2"",""A2"",""A2"","""",""A1"","""",""Vorrang hatten für mich die Artenvielfalt, Wasserqualität, Kosten - Nutzenverhältnis."",""0"","""",""1"",""Auf Grund der globalen Industrialisierung schwer zu beeinflussen"",""0"","""",""0"","""",""0"","""",""0"","""",""0"","""",""A1"","""",""A7"",""A6"",""A6"",""A5"",""A6"",""A7"",""A4"",""A6"",""A5"",""A6"",""A6"",""A4"",""A7"",""A6"",""A6"",""A3"",""A6"",""A1"",""A2"",""A1"",""1982"",""2"",""46244"",""-oth-"",""Gastronomie / Öffentlicher Dienst"",""A5"",""A6"","""",""1484.91"","""",""36.8"","""",""365.15"",""12.51"",""61.5"","""",""33.29"",""11.57"",""18.78"",""18.23"",""6.42"",""22.84"",""28.83"",""20.09"",""38.56"",""19.19"",""10.92"",""20.64"",""23.62"",""11.65"",""22.93"",""62.86"",""16.96"",""18.71"",""14.43"",""26.81"","""","""",""7.99"","""",""117.03"",""110.47"",""17.59"",""9.09"","""",""105.13"",""12.54"",""19.91"","""",""7.73"",""9.71"",""10.86"",""12.93"",""74.61"",""21.64"",""17.42"","""",""6.97""		"
"24,""1980-01-01 00:00:00"",""42"",""de"",""814966461"",""HE592JU"",""Habe das Thema CDR neu kennengelernt. 		"
